15380814 -32150558 27401 60 290 13 Kaarel
15466484 -32122318 29961 60 291 13 Kaarel
15616288 -32072421 34191 60 291 13 Kaarel
15830899 -32001936 40028 60 291 13 Kaarel
16111264 -31911828 47414 60 291 13 Kaarel
16457991 -31802849 55780 60 290 13 Kaarel
16864721 -31677376 64537 60 290 13 Kaarel
17312865 -31535371 73496 60 291 13 Kaarel
17814622 -31374481 83180 60 291 13 Kaarel
18366810 -31198760 93493 60 290 13 Kaarel
18957088 -31010816 103583 61 290 13 Kaarel
19530309 -30814588 112090 59 294 13 Kaarel
20059185 -30571144 115995 57 304 13 Kaarel
20539760 -30234259 119082 58 317 13 Kaarel
20941188 -29803632 120053 60 328 13 Kaarel
21263473 -29282741 119783 60 340 13 Kaarel
21464320 -28709779 122417 61 353 13 Kaarel
21541539 -28100652 123246 62 0 13 Kaarel
21503789 -27469850 121832 62 11 13 Kaarel
21339878 -26847992 117600 66 24 13 Kaarel
21044626 -26251782 113716 65 36 13 Kaarel
20637631 -25748754 108470 64 52 13 Kaarel
20128994 -25354599 103000 64 63 13 Kaarel
19553182 -25054075 97075 66 67 13 Kaarel
18915383 -24792402 91473 71 70 13 Kaarel
18228977 -24534734 86408 75 68 13 Kaarel
17547221 -24234425 86171 73 61 13 Kaarel
16913057 -23854951 86426 73 51 13 Kaarel
16332765 -23379174 86309 76 43 13 Kaarel
15834821 -22817078 86276 75 31 13 Kaarel
15430345 -22170384 86290 77 24 13 Kaarel
15099342 -21448316 86849 81 20 13 Kaarel
14839248 -20675815 86258 82 12 13 Kaarel
14655357 -19856344 86974 70 8 13 Kaarel
14535294 -18998931 86179 60 3 13 Kaarel
14480174 -18193252 85932 50 362 13 Kaarel
14472968 -17517021 85912 40 360 13 Kaarel
14477985 -16969027 85935 35 0 13 Kaarel
14470931 -16526480 85964 30 2 13 Kaarel
14457976 -16169620 86188 30 1 13 Kaarel
14467143 -15837267 86213 30 359 13 Kaarel
14533709 -15532604 86078 30 345 13 Kaarel
14676679 -15283621 86216 28 324 13 Kaarel
14905714 -15099422 86067 30 304 13 Kaarel
15199140 -14975543 85592 33 290 13 Kaarel
15549578 -14897645 85333 37 282 13 Kaarel
15952347 -14842277 91791 43 279 13 Kaarel
16394723 -14779178 105726 47 283 13 Kaarel
16876708 -14657535 124731 52 292 13 Kaarel
17387307 -14461855 149885 57 296 13 Kaarel
17929300 -14262877 185176 56 288 13 Kaarel
18464080 -14135790 228975 53 281 13 Kaarel
18980675 -14061745 266040 52 277 13 Kaarel
19499083 -14020725 306374 52 273 13 Kaarel
20015128 -14029601 349258 51 267 13 Kaarel
20539378 -14066754 395937 54 270 13 Kaarel
21078146 -14057124 444426 53 281 13 Kaarel
21584119 -13942108 489540 51 297 13 Kaarel
22031324 -13704834 531613 51 313 13 Kaarel
22428481 -13352074 577240 55 321 13 Kaarel
22806672 -12919660 622583 59 324 13 Kaarel
23180863 -12432875 666563 63 327 13 Kaarel
23546167 -11912474 707101 65 329 13 Kaarel
23909630 -11350600 743176 68 332 13 Kaarel
24265372 -10740146 771034 72 335 13 Kaarel
24604012 -10077936 788207 76 338 13 Kaarel
24921907 -9371659 791843 77 341 13 Kaarel
25201669 -8660296 783634 75 344 13 Kaarel
25437138 -7992101 768774 67 345 13 Kaarel
25634582 -7379129 751408 60 346 13 Kaarel
25806764 -6830829 733954 51 345 13 Kaarel
25950887 -6386521 720139 41 345 13 Kaarel
26060058 -6043551 710233 31 346 13 Kaarel
26150081 -5748199 702756 30 346 13 Kaarel
26223561 -5504991 696714 20 346 13 Kaarel
26284012 -5317854 693041 19 345 13 Kaarel
26360919 -5144150 690592 18 338 13 Kaarel
26470739 -5001325 691647 17 323 13 Kaarel
26621304 -4898911 696069 20 304 13 Kaarel
26825125 -4844330 695858 22 281 13 Kaarel
27046797 -4851371 694540 22 265 13 Kaarel
27290373 -4915801 698291 27 252 13 Kaarel
27568553 -5034610 705315 33 247 13 Kaarel
27887166 -5181791 711559 37 247 13 Kaarel
