9851237 -56284010 446237 85 122 11 Kaarel
9183262 -56678702 456926 85 119 11 Kaarel
8468217 -57057519 464307 85 118 11 Kaarel
7732839 -57432129 468560 85 117 11 Kaarel
7009035 -57789451 470034 85 117 11 Kaarel
6319331 -58120668 469483 85 116 11 Kaarel
5631742 -58417553 467549 85 110 11 Kaarel
4937278 -58635094 466143 85 101 11 Kaarel
4241125 -58742948 464734 85 91 11 Kaarel
3536541 -58730026 462688 85 82 11 Kaarel
2849467 -58595432 461818 85 70 11 Kaarel
2215895 -58337204 461296 85 58 11 Kaarel
1639360 -57963290 460960 85 49 11 Kaarel
1126956 -57494200 460608 85 41 11 Kaarel
683594 -56943743 461735 85 32 11 Kaarel
328013 -56331176 464461 85 22 11 Kaarel
75516 -55692727 467105 85 16 11 Kaarel
-112911 -55050430 469321 85 15 11 Kaarel
-300162 -54396947 470775 85 17 11 Kaarel
-506561 -53730721 471265 85 18 11 Kaarel
-732788 -53025949 459914 85 18 11 Kaarel
-975271 -52280870 433213 85 18 11 Kaarel
-1223293 -51502036 396046 85 17 11 Kaarel
-1465491 -50720658 357218 85 17 11 Kaarel
-1693896 -49962257 324524 75 16 11 Kaarel
-1892543 -49287856 305689 63 16 11 Kaarel
-2061177 -48713620 300812 55 16 11 Kaarel
-2210987 -48223271 300955 49 17 11 Kaarel
-2358616 -47777680 300885 44 19 11 Kaarel
-2501162 -47389803 301003 39 21 11 Kaarel
-2638671 -47056986 300905 32 23 11 Kaarel
-2766824 -46777485 301057 29 25 11 Kaarel
-2891085 -46513631 301096 28 25 11 Kaarel
-2991395 -46254860 301006 27 18 11 Kaarel
-3037922 -45996731 300922 25 5 11 Kaarel
-3009926 -45752042 300827 24 352 11 Kaarel
-2901921 -45514817 300882 27 333 11 Kaarel
-2714997 -45300544 300820 29 316 11 Kaarel
-2468501 -45130506 300862 31 303 11 Kaarel
-2165187 -44987557 300970 40 295 11 Kaarel
-1809188 -44860788 300996 40 291 11 Kaarel
-1397587 -44732147 300816 60 289 11 Kaarel
-937393 -44598371 300987 120 289 11 Kaarel
-420224 -44449438 300962 120 289 11 Kaarel
147470 -44280962 300932 120 290 11 Kaarel
753085 -44098161 300857 120 290 11 Kaarel
1392035 -43904686 301014 120 290 11 Kaarel
2074087 -43701351 306050 120 289 11 Kaarel
2796257 -43492162 319214 120 289 11 Kaarel
3554332 -43277429 338464 120 288 11 Kaarel
4339328 -43058571 363466 120 288 11 Kaarel
5145049 -42837266 391434 120 288 11 Kaarel
5980179 -42610469 419581 120 288 11 Kaarel
6843462 -42376270 445109 120 288 11 Kaarel
7732824 -42128501 464039 120 289 11 Kaarel
8648276 -41867253 471819 120 289 11 Kaarel
9591652 -41597971 471494 120 289 11 Kaarel
10552732 -41318667 471367 120 289 11 Kaarel
11503031 -41037015 473878 120 289 11 Kaarel
12468273 -40754997 479535 120 289 11 Kaarel
13453145 -40472352 485161 120 289 11 Kaarel
14463380 -40186180 490937 120 288 11 Kaarel
15499578 -39901951 498496 120 288 11 Kaarel
16559476 -39616315 508390 120 288 11 Kaarel
17641053 -39325102 518507 120 288 11 Kaarel
18742369 -39024547 528706 120 288 11 Kaarel
19861952 -38712846 539207 120 288 11 Kaarel
21000952 -38396569 542737 120 288 11 Kaarel
22147781 -38082240 542792 120 288 11 Kaarel
23275852 -37774956 542758 114 288 11 Kaarel
24345643 -37485267 542601 107 288 11 Kaarel
25330633 -37221256 542580 98 288 11 Kaarel
26240477 -36974761 542658 90 289 11 Kaarel
27091115 -36738700 542697 86 288 11 Kaarel
27906348 -36511807 542643 82 289 11 Kaarel
28667229 -36292365 542521 74 290 11 Kaarel
29346690 -36081545 542710 70 291 11 Kaarel
29995622 -35851179 542764 70 295 11 Kaarel
